"filename", "language", "C#", "comment", "blank", "total"
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\MainMenu\MenuButtons.cs", "C#", 32, 0, 10, 42
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Buttons\ButtonsMinigame.cs", "C#", 65, 3, 20, 88
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\MinigamesSystem\MinigameSystem.cs", "C#", 90, 21, 17, 128
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Router\Router.cs", "C#", 91, 2, 20, 113
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Socks\DragAndDrop.cs", "C#", 41, 1, 5, 47
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Socks\ItemSlot.cs", "C#", 41, 1, 10, 52
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Socks\ReturnSocks.cs", "C#", 37, 0, 11, 48
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Studies Clicker\Clicker.cs", "C#", 37, 1, 7, 45
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Vodka\GradusMoving.cs", "C#", 41, 6, 11, 58
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Vodka\MovingSquare.cs", "C#", 74, 3, 11, 88
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Wires\DrawLine.cs", "C#", 24, 0, 5, 29
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Wires\WiresDragDrop.cs", "C#", 41, 2, 7, 50
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Minigames\Wires\WiresSlot.cs", "C#", 49, 5, 11, 65
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Player\BuffSystem.cs", "C#", 32, 0, 5, 37
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Player\Control.cs", "C#", 59, 1, 9, 69
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Player\InteractTrigger.cs", "C#", 67, 0, 9, 76
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Scores\Scores.cs", "C#", 24, 0, 5, 29
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Timer\AddTime.cs", "C#", 15, 0, 3, 18
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Timer\MinigamesTimer.cs", "C#", 60, 5, 9, 74
"d:\progs\unity\projects\Jam6\Jam6\Assets\Scripts\Timer\Timer.cs", "C#", 29, 0, 6, 35
"Total", "-", 949, 51, 191, 1191
